City,Period,Temperature,Status
AGUA BOA,2019-01,26.0,Perfect
AGUA BOA,2019-02,25.0,Perfect
AGUA BOA,2019-03,26.0,Perfect
AGUA BOA,2019-04,26.0,Perfect
AGUA BOA,2019-05,27.0,Perfect
AGUA BOA,2019-06,27.0,Perfect
AGUA BOA,2019-07,28.0,Perfect
AGUA BOA,2019-08,31.0,Perfect
AGUA BOA,2019-09,32.0,Perfect
AGUA BOA,2019-10,30.0,Perfect
AGUA BOA,2019-11,28.0,Perfect
AGUA BOA,2019-12,27.0,Perfect
AGUA BOA,2020-01,26.0,Perfect
AGUA BOA,2020-02,26.0,Perfect
AGUA BOA,2020-03,26.0,Perfect
AGUA BOA,2020-04,27.0,Perfect
AGUA BOA,2020-05,27.0,Perfect
AGUA BOA,2020-06,29.0,Perfect
AGUA BOA,2020-07,29.0,Perfect
AGUA BOA,2020-08,28.0,Perfect
AGUA BOA,2020-09,28.0,Perfect
AGUA BOA,2020-10,28.0,Perfect
AGUA BOA,2020-11,29.0,Perfect
AGUA BOA,2020-12,28.0,Perfect
AGUA BOA,2021-01,27.0,Perfect
AGUA BOA,2021-02,26.0,Perfect
AGUA BOA,2021-03,27.0,Perfect
AGUA BOA,2021-04,28.0,Perfect
AGUA BOA,2021-05,27.0,Perfect
AGUA BOA,2021-06,27.0,Perfect
AGUA BOA,2021-07,27.0,Perfect
AGUA BOA,2021-08,27.0,Perfect
AGUA BOA,2021-09,27.0,Perfect
AGUA BOA,2021-10,27.0,Perfect
AGUA BOA,2021-11,27.0,Perfect
AGUA BOA,2021-12,27.0,Perfect
AGUA BOA,2022-01,26.0,Perfect
AGUA BOA,2022-02,26.0,Perfect
AGUA BOA,2022-03,26.0,Perfect
AGUA BOA,2022-04,26.0,Perfect
AGUA BOA,2022-05,24.0,Regular
AGUA BOA,2022-06,26.0,Perfect
AGUA BOA,2022-07,25.0,Perfect
AGUA BOA,2022-08,28.0,Perfect
AGUA BOA,2022-09,29.0,Perfect
AGUA BOA,2022-10,27.0,Perfect
AGUA BOA,2022-11,26.0,Perfect
AGUA BOA,2022-12,25.0,Perfect
AGUA BOA,2023-01,24.0,Regular
AGUA BOA,2023-02,26.0,Perfect
AGUA BOA,2023-03,27.0,Perfect
AGUA BOA,2023-04,28.0,Perfect
AGUA BOA,2023-05,28.0,Perfect
AGUA BOA,2023-06,27.0,Perfect
AGUA BOA,2023-07,27.0,Perfect
AGUA BOA,2023-08,27.0,Perfect
AGUA BOA,2023-09,27.0,Perfect
AGUA BOA,2023-10,28.0,Perfect
AGUA BOA,2023-11,28.0,Perfect
AGUA BOA,2023-12,27.0,Perfect
ALTA FLORESTA,2019-01,25.0,Perfect
ALTA FLORESTA,2019-02,25.0,Perfect
ALTA FLORESTA,2019-03,25.0,Perfect
ALTA FLORESTA,2019-04,26.0,Perfect
ALTA FLORESTA,2019-05,25.0,Perfect
ALTA FLORESTA,2019-06,24.0,Regular
ALTA FLORESTA,2019-07,24.0,Regular
ALTA FLORESTA,2019-08,25.0,Perfect
ALTA FLORESTA,2019-09,27.0,Perfect
ALTA FLORESTA,2019-10,25.0,Perfect
ALTA FLORESTA,2019-11,26.0,Perfect
ALTA FLORESTA,2019-12,26.0,Perfect
ALTA FLORESTA,2020-01,25.0,Perfect
ALTA FLORESTA,2020-02,25.0,Perfect
ALTA FLORESTA,2020-03,26.0,Perfect
ALTA FLORESTA,2020-04,26.0,Perfect
ALTA FLORESTA,2020-05,25.0,Perfect
ALTA FLORESTA,2020-06,24.0,Regular
ALTA FLORESTA,2020-07,25.0,Perfect
ALTA FLORESTA,2020-08,25.0,Perfect
ALTA FLORESTA,2020-09,25.0,Perfect
ALTA FLORESTA,2020-10,25.0,Perfect
ALTA FLORESTA,2020-11,25.0,Perfect
ALTA FLORESTA,2020-12,25.0,Perfect
ALTA FLORESTA,2022-01,25.0,Perfect
ALTA FLORESTA,2022-02,25.0,Perfect
ALTA FLORESTA,2022-03,25.0,Perfect
ALTA FLORESTA,2022-04,25.0,Perfect
ALTA FLORESTA,2022-05,25.0,Perfect
ALTA FLORESTA,2022-06,25.0,Perfect
ALTA FLORESTA,2022-07,25.0,Perfect
ALTA FLORESTA,2022-08,25.0,Perfect
ALTA FLORESTA,2022-09,25.0,Perfect
ALTA FLORESTA,2022-10,25.0,Perfect
ALTA FLORESTA,2022-11,26.0,Perfect
ALTA FLORESTA,2022-12,25.0,Perfect
ALTA FLORESTA,2023-01,24.0,Regular
ALTA FLORESTA,2023-02,25.0,Perfect
ALTA FLORESTA,2023-03,25.0,Perfect
ALTA FLORESTA,2023-04,25.0,Perfect
ALTA FLORESTA,2023-05,26.0,Perfect
ALTA FLORESTA,2023-06,24.0,Regular
ALTA FLORESTA,2023-07,25.0,Perfect
ALTA FLORESTA,2023-08,25.0,Perfect
ALTA FLORESTA,2023-09,25.0,Perfect
ALTA FLORESTA,2023-10,25.0,Perfect
ALTA FLORESTA,2023-11,26.0,Perfect
ALTA FLORESTA,2023-12,27.0,Perfect
ALTO ARAGUAIA,2019-01,24.0,Regular
ALTO ARAGUAIA,2019-02,23.0,Regular
ALTO ARAGUAIA,2019-03,24.0,Regular
ALTO ARAGUAIA,2019-04,23.0,Regular
ALTO ARAGUAIA,2019-05,22.0,Regular
ALTO ARAGUAIA,2019-06,21.0,Regular
ALTO ARAGUAIA,2019-07,21.0,Regular
ALTO ARAGUAIA,2019-08,24.0,Regular
ALTO ARAGUAIA,2019-09,29.0,Perfect
ALTO ARAGUAIA,2019-10,24.0,Regular
ALTO ARAGUAIA,2019-11,24.0,Regular
ALTO ARAGUAIA,2019-12,24.0,Regular
ALTO ARAGUAIA,2020-01,24.0,Regular
ALTO ARAGUAIA,2020-02,24.0,Regular
ALTO ARAGUAIA,2020-03,24.0,Regular
ALTO ARAGUAIA,2020-04,23.0,Regular
ALTO ARAGUAIA,2020-05,20.0,Regular
ALTO ARAGUAIA,2020-06,22.0,Regular
ALTO ARAGUAIA,2020-07,22.0,Regular
ALTO ARAGUAIA,2020-08,24.0,Regular
ALTO ARAGUAIA,2020-09,27.0,Perfect
ALTO ARAGUAIA,2020-10,27.0,Perfect
ALTO ARAGUAIA,2020-11,25.0,Perfect
ALTO ARAGUAIA,2020-12,24.0,Regular
ALTO ARAGUAIA,2021-01,23.0,Regular
ALTO ARAGUAIA,2021-02,24.0,Regular
ALTO ARAGUAIA,2021-03,23.0,Regular
ALTO ARAGUAIA,2021-04,23.0,Regular
ALTO ARAGUAIA,2021-05,22.0,Regular
ALTO ARAGUAIA,2021-06,21.0,Regular
ALTO ARAGUAIA,2021-07,20.0,Regular
ALTO ARAGUAIA,2021-08,24.0,Regular
ALTO ARAGUAIA,2021-09,27.0,Perfect
ALTO ARAGUAIA,2021-10,25.0,Perfect
ALTO ARAGUAIA,2021-11,23.0,Regular
ALTO ARAGUAIA,2021-12,23.0,Regular
ALTO ARAGUAIA,2022-01,23.0,Regular
ALTO ARAGUAIA,2022-02,23.0,Regular
ALTO ARAGUAIA,2022-03,23.0,Regular
ALTO ARAGUAIA,2022-04,26.0,Perfect
ALTO ARAGUAIA,2022-05,20.0,Regular
ALTO ARAGUAIA,2022-06,21.0,Regular
ALTO ARAGUAIA,2022-07,22.0,Regular
ALTO ARAGUAIA,2022-08,22.0,Regular
ALTO ARAGUAIA,2022-09,25.0,Perfect
ALTO ARAGUAIA,2022-10,24.0,Regular
ALTO ARAGUAIA,2022-11,23.0,Regular
ALTO ARAGUAIA,2022-12,24.0,Regular
ALTO ARAGUAIA,2023-01,23.0,Regular
ALTO ARAGUAIA,2023-02,23.0,Regular
ALTO ARAGUAIA,2023-03,24.0,Regular
ALTO ARAGUAIA,2023-04,23.0,Regular
ALTO ARAGUAIA,2023-05,22.0,Regular
ALTO ARAGUAIA,2023-06,20.0,Regular
ALTO ARAGUAIA,2023-07,22.0,Regular
ALTO ARAGUAIA,2023-08,24.0,Regular
ALTO ARAGUAIA,2023-09,26.0,Perfect
ALTO ARAGUAIA,2023-10,27.0,Perfect
ALTO ARAGUAIA,2023-11,26.0,Perfect
ALTO ARAGUAIA,2023-12,26.0,Perfect
ALTO TAQUARI,2019-01,23.0,Regular
ALTO TAQUARI,2019-02,23.0,Regular
ALTO TAQUARI,2019-03,23.0,Regular
ALTO TAQUARI,2019-04,23.0,Regular
ALTO TAQUARI,2019-05,23.0,Regular
ALTO TAQUARI,2019-06,21.0,Regular
ALTO TAQUARI,2019-07,20.0,Regular
ALTO TAQUARI,2019-08,22.0,Regular
ALTO TAQUARI,2019-09,26.0,Perfect
ALTO TAQUARI,2019-10,27.0,Perfect
ALTO TAQUARI,2019-11,23.0,Regular
ALTO TAQUARI,2019-12,23.0,Regular
ALTO TAQUARI,2020-01,24.0,Regular
ALTO TAQUARI,2020-02,23.0,Regular
ALTO TAQUARI,2020-03,24.0,Regular
ALTO TAQUARI,2020-04,23.0,Regular
ALTO TAQUARI,2020-05,19.0,Regular
ALTO TAQUARI,2020-06,21.0,Regular
ALTO TAQUARI,2020-07,21.0,Regular
ALTO TAQUARI,2020-08,22.0,Regular
ALTO TAQUARI,2020-09,26.0,Perfect
ALTO TAQUARI,2020-10,25.0,Perfect
ALTO TAQUARI,2020-11,24.0,Regular
ALTO TAQUARI,2020-12,23.0,Regular
ALTO TAQUARI,2021-01,22.0,Regular
ALTO TAQUARI,2021-02,23.0,Regular
ALTO TAQUARI,2021-03,22.0,Regular
ALTO TAQUARI,2021-04,22.0,Regular
ALTO TAQUARI,2021-05,21.0,Regular
ALTO TAQUARI,2021-06,19.0,Regular
ALTO TAQUARI,2021-07,18.0,Regular
ALTO TAQUARI,2021-08,22.0,Regular
ALTO TAQUARI,2021-09,25.0,Perfect
ALTO TAQUARI,2021-10,24.0,Regular
ALTO TAQUARI,2021-11,23.0,Regular
ALTO TAQUARI,2021-12,23.0,Regular
ALTO TAQUARI,2022-01,23.0,Regular
ALTO TAQUARI,2022-02,26.0,Perfect
ALTO TAQUARI,2022-03,26.0,Perfect
ALTO TAQUARI,2022-04,28.0,Perfect
ALTO TAQUARI,2022-05,24.0,Regular
ALTO TAQUARI,2022-06,24.0,Regular
ALTO TAQUARI,2022-07,26.0,Perfect
ALTO TAQUARI,2022-08,25.0,Perfect
ALTO TAQUARI,2022-09,23.0,Regular
ALTO TAQUARI,2022-10,23.0,Regular
ALTO TAQUARI,2022-11,22.0,Regular
ALTO TAQUARI,2022-12,23.0,Regular
ALTO TAQUARI,2023-01,22.0,Regular
ALTO TAQUARI,2023-02,22.0,Regular
ALTO TAQUARI,2023-03,23.0,Regular
ALTO TAQUARI,2023-04,22.0,Regular
ALTO TAQUARI,2023-05,21.0,Regular
ALTO TAQUARI,2023-06,18.0,Regular
ALTO TAQUARI,2023-07,20.0,Regular
ALTO TAQUARI,2023-08,23.0,Regular
ALTO TAQUARI,2023-09,25.0,Perfect
ALTO TAQUARI,2023-10,26.0,Perfect
ALTO TAQUARI,2023-11,25.0,Perfect
ALTO TAQUARI,2023-12,25.0,Perfect
APIACAS,2019-01,26.0,Perfect
APIACAS,2019-02,26.0,Perfect
APIACAS,2019-03,26.0,Perfect
APIACAS,2019-04,27.0,Perfect
APIACAS,2019-05,28.0,Perfect
APIACAS,2019-06,29.0,Perfect
APIACAS,2019-07,29.0,Perfect
APIACAS,2019-08,30.0,Perfect
APIACAS,2019-09,31.0,Perfect
APIACAS,2019-10,28.0,Perfect
APIACAS,2019-11,27.0,Perfect
APIACAS,2019-12,27.0,Perfect
APIACAS,2020-01,26.0,Perfect
APIACAS,2020-02,26.0,Perfect
APIACAS,2020-03,26.0,Perfect
APIACAS,2020-04,27.0,Perfect
APIACAS,2020-05,28.0,Perfect
APIACAS,2020-06,31.0,Perfect
APIACAS,2020-07,31.0,Perfect
APIACAS,2020-08,32.0,Perfect
APIACAS,2020-09,32.0,Perfect
APIACAS,2020-10,31.0,Perfect
APIACAS,2020-11,29.0,Perfect
APIACAS,2020-12,28.0,Perfect
APIACAS,2022-01,26.0,Perfect
APIACAS,2022-02,26.0,Perfect
